state,year,month,handgun_incidents,shotgun_incidents,rifle_incidents,firearm_incidents,knife_incidents,other_weapon_incidents,sibling_incidents,spouse_incidents,parent_incidents,child_incidents,dating_incidents,other_relations_incidents,accidental_incidents,intentional_incidents,total_incidents
Idaho,1999,July,2,0,0,0,0,0,0,0,0,0,0,2,0,2,2
Idaho,1999,August,2,0,2,0,0,1,0,0,0,3,0,2,0,5,5
Idaho,1999,September,0,0,1,1,0,1,0,1,0,0,0,2,0,3,3
Idaho,1999,October,1,0,0,1,1,0,0,0,0,0,0,3,0,3,3
Idaho,1999,November,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
Idaho,1999,December,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
Idaho,2000,January,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Idaho,2000,February,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Idaho,2000,March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,2000,April,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1
Idaho,2000,May,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,2000,June,1,0,1,0,1,0,0,1,0,0,0,2,0,3,3
Idaho,2000,July,2,0,0,1,0,0,0,0,0,0,0,3,0,3,3
Idaho,2000,August,2,0,0,0,0,0,0,2,0,0,0,0,0,2,2
Idaho,2000,September,0,1,0,0,0,1,0,0,0,0,0,2,0,2,2
Idaho,2000,October,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
Idaho,2000,November,0,1,0,0,1,0,0,0,0,0,0,2,0,2,2
Idaho,2000,December,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Idaho,2001,January,3,0,0,0,0,0,0,0,0,0,0,3,0,3,3
Idaho,2001,February,1,0,0,0,1,0,0,2,0,0,0,0,0,2,2
Idaho,2001,March,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,2001,April,0,0,0,1,1,1,0,0,1,0,0,2,0,3,3
Idaho,2001,May,3,0,0,0,0,0,0,0,0,0,0,3,0,3,3
Idaho,2001,June,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
Idaho,2001,July,0,1,0,0,1,1,0,0,0,1,0,2,0,3,3
Idaho,2001,August,0,0,0,0,1,1,0,0,0,0,0,2,0,2,2
Idaho,2001,September,1,1,0,0,0,2,0,0,0,0,1,3,0,4,4
